a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
samudrāḥ parikirtitāḥ | JñS_24.02s-d
samūhaṃ caikaviṃśati | JñS_26.04s-d
sameṣṭaṃ mānuṣaṃ phalam | VpT_22s-d
saṃbhandhaṃ bhedalakṣaṇam | JñS_26.10s-b
samyagjñānāddhi kāmataḥ | VpT_30s-a
samyogo puruṣo bhavet | JñS_09.08s-d
sargeṣṭhanī ca malanī | JñS_11.23s-b
sarpiḥ kṣīravad iṣyate | JñS_25.01s-d
sarpiś cekṣur apo 'param | JñS_24.02s-b
sarvakāmāñ juhoti saḥ | JñS_10.01s-d
*sarvagataḥ parisaṃsthitam | VpT_10s-d
sarvajñaḥ sarvakṛdvibhuḥ | VpT_12s-d
sarvataḥ pūjyate yasmān | VpT_69s-c
sarvabhūtadamanī ca | JñS_12.05s-a
sarvabhogena tṛpyate | VpT_32s-b
sarvabhogeṣu tṛpyate | VpT_29s-d
sarvamarme vyavasthitaḥ | JñS_12.27s-b
sarvamokṣapratijñātam | VpT_20s-d
sarvaviṣavināśanaṃ | GpT_58s-a
sarvaśāstram adhiyīta | JñS_27.05s-a
sarvaśāstreṣu yat sāraṃ | JñS_27.06s-a
sarvā nāḍīḥ samāhṛtya | MJ_19s-c
sarvāṅge vimalaṃ bhūtam | JñS_25.03s-c
sarvvadevasamanvitaḥ | MJ_34s-d
sarvvabhāveṣu nityaśaḥ | MJ_84s-b
sarvvaśva yathā nimahāt | MJ_61s-c
sarvvā nāḍyo nadyaḥ smṛtāḥ | MJ_11s-d
sarvveṣām akṣarāṇāṃ ca | MJ_66s-a
savyāpāraḥ śivaḥ sūryaḥ | VpT_11s-a
sahasranāvasahāyaḥ | MJ_73s-b
sācāraśatruḥ bhavatā ca tuṣṇim | JñS_22.03s-c
sādhu sādhu mahāsattva | VpT_03s-a
sāmānyaṃ triṣu vijñeyaṃ | VpT_28s-c
sārddhāṅgulis tribhuvane maṇḍalamadhyasāraḥ | MJ_17s-a
sāhasitvaṃ pracaṇḍatā | VpT_18s-b
siddhayo 'ṣṭa prakīrtitāḥ | VpT_33s-d
siddhāṃ tu paramaṃ gūhyaṃ | JñS_23.02s-a
siddhānta iti krameṇa | JñS_23.01s-a
siddhāntaṃ jñānam uttamam | JñS_27.06s-b
siddhāntaṃ paramaṃ guhyaṃ | JñS_26.01s-a
sinā jñānatrayaṃ jāgrat | GpT_46s-a
sīghragācalā śaśāṅkā | JñS_11.10s-a
sukṣmetre mama vasatir | MJ_04s-c
sukhaṃ devaśarīratvaṃ | GpT_41s-a
sukhaṃ devaśarīratvaṃ | JñS_19.02s-a
sukhe dehe virāgitā | VpT_27s-b
suṅkārākṣaravinduṣṭho | JñS_12.22s-a
sutālaṃ buddhir eva ca | JñS_24.07s-d
sudīptābhīmakālikā | JñS_11.09s-b
sudhumrāpiṅgalā caiva | JñS_11.09s-c
sunādi sandhakayaka | VpT_22s-b
suptavat sukham āpnuyāt | VpT_31s-b
surā mūtrasamudraś ca | JñS_24.07s-a
suśabdā vāhanī voḍhrī | JñS_11.15s-c
suṣuptaṃ candrasaṃkāśaṃ | MJ_44s-c
suṣuptaṃ padaṃ rudrasya | MJ_46s-c
suṣuptaṃ padam eva ca | MJ_39s-b
suṣuptaṃ sthāna eva ca | MJ_31s-d
suṣuptabhuk tite artho | JñS_10.12s-c
suṣuptasthānam ucyate | MJ_35s-b
suṣuptasya devatokto | MJ_51s-a
suṣuptājñānanā tathā | JñS_11.10s-b
suṣumnā ca tato bhavet | VpT_37s-b
susūkṣmo vai yathā dehaḥ | VpT_67s-a
sūkṣmaṃ cittamayaṃ bhavet | JñS_08.03s-b
sūkṣmaṃ sakalaniṣkalam | JñS_03.03s-b
sūkṣmaṃ sarvagataṃ nityaṃ | VpT_07s-c
sūkṣmacittanirbhūtaś ca | JñS_16.13s-c
sūkṣmacitte vibhutvaṃ ca | GpT_22s-c
sūkṣmajñānabhāvasthitam | MJ_75s-b
sūkṣmañcānupalabhyatvād | VpT_09s-a
sūkṣmatanuḥ prakīrttitā | MJ_42s-d
sūkṣmatamaḥ paraṃ tathā | JñS_09.06s-b
sūkṣmatvaṃ ca vibhutvaṃ ca | MJ_60s-c
sūkṣmam unneyaṃ yatnataḥ | VpT_06s-d
sūkṣmasūkṣmataraḥ śarvaḥ | JñS_09.06s-a
sūkṣmānantāpi durgrāhyaṃ | JñS_08.06s-a
sūrasvādukalāḥ saptāḥ | JñS_24.02s-c
sūryyakoṭisahasrāṃśu- | MJ_62s-a
sṛṣṭāḥ devatā dehaś ca | JñS_09.05s-a
sṛṣṭiḥ paramaśarvena | JñS_09.03s-a
so 'pi padmānte saṃsthitaḥ | JñS_12.03s-b
saudāmanīsamaprabhaḥ | JñS_12.20s-b
-saumyatā nityabandhatā | VpT_19s-d
saumyabhāvaṃ tathaiva ca | VpT_10s-b
sauṣuptaṃ timirondhakāragahanañ cāvyaktam ātyantikaṃ | VpT_47s-c
skandho rātriś ca vijñeyaś | MJ_13s-a
sthānaṃ sasya pratiṣṭhati | MJ_61s-d
*sthānāny etāni | JñS_07.01s-c
*sthānānyatha catvāri | MJ_71s-a
sthāne pramāṇa ucyate | MJ_32s-d
sthāpayec ca vaṣatkāraṃ | JñS_25.20s-c
sthāvaraṃ śīghram āyantaṃ | VpT_24s-c
sthitikālaḥ sa ucyate | JñS_09.07s-d
sthitimantram idaṃ sarvaṃ | GpT_38s-c
sthitimantram idaṃ sarvaṃ | JñS_18.11s-c
*sthitir iti smṛtaḥ | JñS_26.15s-d
sthitir eva nigadyate | JñS_18.02s-d
sthitir eva prakīrtitaḥ | JñS_26.15s-b
sthitir evaṃ nigadyate | GpT_29s-d
sthūlaṃ jāgarakaṃ vibhinnaracitaṃ pratyakṣato dṛśyate | VpT_47s-a
sthūlaṃ tyaktvā yathecchayā | VpT_67s-b
sthūlaṃ śabdamayaṃ proktaṃ | JñS_08.03s-a
sthūlaṃ sakalatattvam ca | JñS_03.03s-a
sthūlaṃ sūkṣmaṃ param śūnyaṃ | JñS_12.01s-a
sthūlas tu sakalo jñeyaḥ | JñS_09.05s-c
sphaṭikabho maheśvaraḥ | JñS_16.10s-b
sphaṭikābhaṃ maheśvaram | MJ_57s-b
sphaṭikābho maheśvaraḥ | GpT_19s-b
svaṃ śarīraṃ manaḥ puṣpaṃ | MJ_11s-a
svapna hṛdaya ucyate | MJ_41s-b
svapnaḥ phenataraṃgabudbudanibho māyopamaś cañcalaḥ | VpT_47s-b
svapnabhoktā jagadrakṣa | JñS_10.11s-c
svapnaś ca ravisannibhaḥ | MJ_44s-b
svapnasya devatācyuto | MJ_50s-a
svapno viṣṇupadaṃ tathā | MJ_46s-b
svayaṃ niṣkramate devaḥ | JñS_25.06s-a
svayam eva karoti yaḥ | JñS_16.02s-b
svayam eva karoti yaḥ | MJ_21s-b
svayam eva karoti yah | GpT_11s-b
svayam eva ca pūjitam | GpT_12s-b
svargaṃ dharmeṇa gamanaṃ | VpT_29s-a
svargabhikṣur vicakṣaṇaḥ | VpT_50s-d
svarṇaliṅgasahasrāṇi | GpT_14s-a
svarṇaliṅgasahasrāṇi | JñS_16.05s-a
svarlokaś ca tathaiva ca | JñS_26.05s-b
svarlokaś ca hy upasthe ca | JñS_26.06s-c
svaliṅgaṃ paraliṅgaṃ vā | GpT_11s-a
svaliṅgaṃ paraliṅgaṃ vā | JñS_16.02s-a
svaliṅgaṃ paraliṅgaṃ vā | MJ_21s-a
svaliṅgaṃ pūrvam utpannaṃ | JñS_16.03s-c
svaliṅgaṃ pūrvam utpannam | GpT_12s-c
svaliṅgaṃ pūrvvam utpannaṃ | MJ_22s-c
svaliṅgaṃ procyate budhaiḥ | JñS_16.03s-d
svaliṅgaṃ līyate dvijaḥ | GpT_11s-d
svaliṅgaṃ līyate dvijaḥ | JñS_16.02s-d
svaliṅgam iti cocyate | JñS_16.03s-b
svaliṅgam iti codyate | MJ_22s-b
svaliṅge līyate dvijaḥ | MJ_21s-d
svādu jīhvāsamudrakaḥ | JñS_24.07s-b
svecchayā laghimā tathā | VpT_68s-d
haṃsarūpaṃ nirācāraṃ | JñS_23.03s-c
haro gārhaspatir mukham | JñS_25.09s-a
havyaṃ bhojantu sarvadā | JñS_10.02s-d
hṛdayaṃ kṣetram ucyate | MJ_05s-d
-hṛdayaṃ vimalaṃ śubham | MJ_62s-b
hṛdayapade nyastaṃ hi | GpT_24s-c
hṛdayasthaṃ sadāśivaṃ | GpT_23s-a
*hṛdayādikaṇṭhānte | JñS_11.12s-c
hṛdayāntaṃ guhyālayaṃ | JñS_16.14s-b
hṛdayāntapadanyastaṃ | JñS_16.15s-c
hṛdayānte guhyālayaṃ | GpT_23s-b
hṛdayānte padaṃ śūnyaṃ | MJ_62s-c
hṛdayānte suṣuptaṃ ca | MJ_41s-c
hṛdaye padmakoṣaś ca | MJ_61s-a
hṛdaye ravisannibham | MJ_36s-b
hṛdaye lakṣayet tathā | MJ_75s-c
hṛdaye sūkṣmabhūtaṃ ca | GpT_22s-a
hṛdaye sūkṣmabhūtaṃ ca | MJ_60s-a
hṛdaye sūkṣmabhūtaś ca | JñS_16.13s-a
hṛdaye sthāpayed devaṃ | JñS_16.14s-a
hṛdi devo maheśvaraḥ | JñS_25.07s-b
hṛdi mūle kaṇṭhe matam | MJ_19s-b
hṛdimdharaṇakṛtyañ ca | MJ_63s-a
hṛdiṣṭho nīlavarṇakaḥ | JñS_10.11s-b
hy akāre vā pralīyate | GpT_39s-b


<b>Didactic</b>

akrodho guruśuśrūṣā | VS_04s-a
akrodho guruśuśrūṣā | VS_31s-a
akrodho guruśuśrūṣā | VS_appendix-04s-a
agnido viṣadātharvau | Slo_32s-a
ajīrṇe bhojanaṃ viṣam | Slo_59s-b
ajñātasāṃvatsarikaḥ | Slo_69s-c
ajñānena yad bhuktaṃ ca | VS_20s-b
atithi svargagāmakaḥ | Slo_77s-d
atithiś cāpavādī ca | Slo_77s-a
atipātakam ucyate | Slo_72s-d
atyugrāt kṛpaṇaṃ tyajet | Slo_40s-b
adhītya cānuvartante | VS_25s-c
adhītya cānuvartante | VS_appendix-25s-c
anantaṃ munidevayoḥ | Slo_08s-d
anantaṃ yugāntakāle | Slo_02s-d
anantaṃ vedapārage | Slo_03s-d
anantadānaṃ dattaṃ vai | Slo_05s-a
anapatyākāmarasau | Slo_11s-a
anabhyāse viṣaṃ śāstram | Slo_59s-a
anityaṃ yauvanaṃ rūpam | Slo_09s-a
anityaḥ priyasaṃyogas | Slo_09s-c
anityo dravyasaṃcayaḥ | Slo_09s-b
annadānaṃ kaniṣṭhaṃ ca | Slo_67s-a
apakṣapāto medhāvī | Slo_20s-c
apavādī haret pāpam | Slo_77s-c
apāstradhṛk kva tāḥ santaḥ | VS_appendix-25(ka)s-c
apramādaś ca pañcaite | VS_04s-c
apramādaś ca pañcaite | VS_31s-c
apramādaś ca pañcaite | VS_appendix-04s-c
abalā tu calā puṃsi | Slo_42s-a
amadanayutā kanyā | Slo_60s-a
amedhyād api kāñcanam | Slo_26s-b
ambhojaṃ kaṇṭakāḍhyaṃ sahimahimagiriś candanaḥ sarpajuṣṭaḥ | Slo_47s-a
arakṣyāṃs tān prayatnena | Slo_42s-c
arthā gṛhe nivartante | Slo_10s-a
avahyam upākaraṇaṃ | VS_28s-a
avivekas tu bhūmipaḥ | Slo_42s-b
aviśeṣāt kṛtaghnakam | Slo_40s-d
-aśanajalasaktatā | VS_35s-cd
aśvo 'pi vegagatitaḥ pariśaṅkanīyaḥ | Slo_61s-d
aṣṭacauravidhāḥ smṛtāḥ | VS_30s-d
asurabhimuditānāṃ gandhibhiḥ sūkarāṇām | Slo_36s-c
astainyam iti pañcaite | Slo_15s-c
astainyam iti pañcaite | VS_03s-c
astainyam iti pañcaite | VS_29s-c
ahaṃ tu rājan munīnāṃ śṛṇomi | Slo_45s-b
ahiṃsā dama ārjavam | VS_24s-b
ahiṃsā dama ārjavam | VS_appendix-24s-b
ahiṃsā brahmacaryaṃ ca | Slo_15s-a
ahiṃsā brahmacaryaṃ ca | VS_29s-a
ahiṃsā brahmacaryañ ca | VS_03s-a
ahite vandanaṃ viṣaṃ | Slo_58s-c
ahito dehajo vyādhir | Slo_51s-c
ahonaktaṃ samaṃ dyutiḥ | VS_27s-b
*ā cireṇa parasya bhūyasīṃ | Slo_17s-a
ākārair iṅgitair gatyā | Slo_82s-a
āgāradāhaś ca tathā | Slo_70s-c
āgneyaṃ bhasmanā snānaṃ | VS_17s-a
āgneyaṃ bhasmanā snānaṃ | VS_appendix-17s-a
āgneyaṃ vāruṇaṃ caiva | VS_16s-a
ācāraḥ kulam ākhyāti | Slo_81s-a
ācāryo yajamānaś ca | VS_15s-c
ādityo vāpi tejasām | Slo_01s-b
ānṛśaṃsyaṃ kṣamā satyam | VS_24s-a
ānṛśaṃsyaṃ śamaḥ satyam | VS_appendix-24s-a
āpadgato 'pi doṣajño | Slo_83s-a
ārādhito 'pi nṛpatiḥ pariśaṅkanīyaḥ | Slo_61s-b
ity etat putraśāsanam | Slo_48s-d
ity etad dhūrtalakṣaṇam | Slo_34s-d
ity etā madakāraṇam | Slo_21s-b
īśasārathisaṃyuktaṃ | Slo_66s-c
uttamaṃ kanyādānaṃ ca | Slo_67s-c
utpalasyāravindasya | Slo_73s-a
upapātakam ucyate | Slo_70s-d
upāyajñaś ca śūraś ca | Slo_38s-c
urage 'pi viṣaṃ dante | Slo_58s-a
ūrubhyāṃ jāyate vaiśyaḥ | Slo_78s-c
ekanakṣatrakānvitāḥ | Slo_53s-b
ekayoniprasūtānāṃ | Slo_73s-c
ekākṣarapradātāraṃ | Slo_68s-a
ekorasasamutpannā | Slo_53s-a
ete sarve sadoṣāḥ kimuta bhuvi janā doṣavanto bhavanti | Slo_47s-d
-kaṅkakokilasūcikāḥ | VS_08s-b
kanyāgate sahasrāṇi | Slo_02s-c
kanyācoro 'grayājakaḥ | Slo_69s-b
kanyādāna ṛṇacchede | Slo_50s-a
kanyāvighnaṃ guror vadho | Slo_71s-c
kamalam api sugandhaṃ kardamaṃ tasya yoniḥ | Slo_25s-c
kartā kārayitā bhoktā | VS_30s-a
kardamād iva padmasya | Slo_46s-c
karma nindyaṃ na kārayet | Slo_31s-b
kaluṣadhūrtamūrkhatvaṃ | VS_34s-a
kaścit paraparīkṣārthaṃ | Slo_79s-c
kaścit paribhavāya ca | Slo_79s-d
kaścit praśno vivādārthaṃ | Slo_79s-a
kaścid bālasamarthanaḥ | Slo_79s-b
kākolūkagṛdhraśyena- | VS_08s-a
kāntā payodharāṇvitā | Slo_60s-c
kālakṣepaṃ na kārayet | Slo_50s-d
kiṃcid yadyapi taddānaṃ | Slo_04s-a
kīraśukāś ca sārikāḥ | VS_08s-c
kukkuṭasūkarasiṃhāḥ | VS_05s-c
kurute tatpratikāram anyathā | Slo_17s-d
kuryur aṃśajanānugāḥ | VS_appendix-25(ka)s-d
kūpaśatād vai paramaṃ saro 'pi | Slo_06s-a
kṛtavidyaḥ priyaṃvadaḥ | Slo_38s-d
kṛpaṇād aviśeṣajñam | Slo_40s-c
kṛmikīṭaiś ca romaiś ca | VS_appendix-20s-a
keśakīṭopasaṃsṛṣṭam | VS_20s-a
krayavikrayakāry atha | Slo_28s-c
krodho lobhaś ca mohaś ca | VS_33s-a
krauryaṃ nindā ca dambhaś ca | VS_34s-b
klībaṃ janmani janmani pratibhaven mṛtyor avandhyaṃ gataḥ | Slo_18s-d
klībo 'balo vadhriḥ kiluḥ | Slo_11s-b
kleśaṃ purīṣam eva ca | VS_28s-b
kṣatriyo bāhujas tathā | Slo_78s-b
kṣamā guṇavatāṃ balam | Slo_57s-b
kṣayayuktim upekṣate kṛtī | Slo_17s-c
kṣetrapālo 'tha vaiśyajaḥ | Slo_27s-d
khañjaḥ kubjo 'ndha ekadṛg | Slo_12s-c
gajāśvaśvānagardabhāḥ | VS_05s-b
gavāśanānāṃ sa giraḥ śṛṇoti | Slo_45s-a
guṇair nayanty eva pitur yaśo mahat | VS_14s-d
guṇair nayanty eva pitur yaśo mahat | VS_appendix-14s-d
gopaḥ sasyabhṛtivrataḥ | Slo_27s-b
govadho yuvatīvadho | Slo_70s-a
grahaṇe śatam eva ca | Slo_02s-b
grāhaś ca kumbhīro nakro | VS_06s-a
ghṛṣṭaṃ ghṛṣṭaṃ punar api punaś candanaṃ cārugandham | Slo_75s-b
ghrasvaḥ śleṣmikunetrakau | Slo_12s-d
cakravaj jagataḥ sarvaṃ | Slo_76s-c
caṇḍālāḥ parikīrttitāḥ | VS_11s-d
catvāro 'vyabhicāriṇaḥ | Slo_64s-d
cāṇḍālāḥ parikīrttitāḥ | Slo_43s-d
cāṇḍālo hy abhijāyate | Slo_68s-d
citte mūrkhaviṣaṃ matam | Slo_58s-b
cūrṇakṛt surāsun nīlī | Slo_29s-a
ceṣṭayā bhāṣitena ca | Slo_82s-b
*cyutaśūdramlecchavṛttayaḥ | VS_appendix-25(ka)s-a
chāyāvad anugacchati | Slo_10s-d
chinnaṃ chinnaṃ punar api punaś cekṣudaṇḍaṃ sakhaṇḍam | Slo_75s-c
chinnapakṣo 'pi jñātibhiḥ | Slo_83s-d
jagad bhramitacakravat | Slo_66s-d
jagannecchopadarśayet | Slo_33s-d
jantūnāṃ narakaṃ paśuḥ | Slo_13s-b
japyaṃ tu manasaḥ snānaṃ | VS_18s-a
japyaṃ tu manasaḥ snānaṃ | VS_appendix-18s-a
*jale gānanaṃ tu vāruṇam | VS_17s-b
jalaukā jaṅgamapāpaṃ | Slo_33s-a
jāyate ca parīkṣitaḥ | Slo_82s-d
jñānagamyena dūṣitā | Slo_39s-c
jñānatuṣṭaniḥspṛheṣu | VS_26s-c
tat kṛtvā yāti pātakam | VS_28s-d
tat sarvaṃ niṣprayojanam | VS_26s-b
tattvadharmaparāyaṇaḥ | Slo_20s-b
tathā caturbhiḥ puruṣaḥ parīkṣitaḥ | Slo_80s-c
tathā hi ke cic chiśavo 'praśikṣitāḥ | VS_13s-a
tathā hi ke cic chiśavo 'praśikṣitāḥ | VS_appendix-13s-a
tathāpi ke cic chiṣyāḥ pariśikṣitāḥ | VS_14s-a
tathāpi kecic chiśavaḥ praśikṣitāḥ | VS_appendix-14s-a
tadvad gamanaṃ bhikṣoś ca | VS_27s-c
tantuvarṇo 'ṣṭacāṇḍālāḥ | Slo_29s-d
tapaḥ paraṃ kṛtayuge | Slo_65s-a
tasmāt putrasya śiṣyasya | VS_appendix-12s-c
tasmāt putreṣu śiṣyeṣu | Slo_49s-c
tasmāt putreṣu śiṣyeṣu | VS_12s-c
tasmāt satyaṃ na lopayet | Slo_07s-d
tasmād dharmaṃ samācaret | Slo_09s-d
tasyāṃ tasyām avasthāyāṃ | Slo_35s-c
tāṃś ca śūdravad ācaret | Slo_30s-d
tāḍanaṃ kurute budhaḥ | VS_12s-d
tāḍanaṃ kurute budhaḥ | VS_appendix-12s-d
tāḍanaṃ na tu lālanam | Slo_49s-d
tāḍanād bahavo guṇāḥ | Slo_49s-b
tāḍanād bahavo guṇāḥ | VS_12s-b
tāḍanād bahavo guṇāḥ | VS_appendix-12s-b
tān vadhan bhrūṇahā smṛtaḥ | VS_15s-d
tithau daśaguṇaṃ dānaṃ | Slo_02s-a
tiryag daśaguṇaṃ pāpaṃ | Slo_08s-a
tisraḥ sevyā vicakṣanaiḥ | Slo_55s-d
tṛṇaṃ jātu na bhakṣayet | Slo_31s-d
tṛṇakuśamuditānāṃ kāñcanaiḥ kiṃ mṛgāṇām | Slo_36s-a
tṛṇasaṃnipāto hy agneḥ | Slo_05s-c
tṛṣṇāpāvakadagdhasya | Slo_54s-c
te yānti paramāṃ gatim | VS_25s-d
te yānti paramāṃ gatim | VS_appendix-25s-d
teṣāṃ gandhaḥ pṛthakpṛthak | Slo_73s-d
teṣāṃ saṃrakṣitenaiva | VS_02s-c
tyajet svāminam atyugram | Slo_40s-a
tyāga eva mahauṣadhiḥ | Slo_54s-d
tyāgī bhāgyabhogī dānī kṛtayaśā dharmaḥ sa saṃrakṣakaḥ | VS_36s-c
trātā jñātā ca goptā ca | VS_30s-c
triloke ca hi dharmaḥ syāt | Slo_07s-c
trisandhyopāsanaṃ bhavet | VS_18s-b
trisandhyopāsanaṃ bhavet | VS_appendix-18s-b
tretāyāṃ jñānam ity āhuḥ | Slo_65s-b
trailokye dīpako dharmaḥ | Slo_52s-c
daṃṣṭriṇāṃ narakaṃ viṣī | Slo_14s-c
*dagdhaṃ dagdhaṃ punar api kāñcanaṃ kāntivarṇam | Slo_75s-a
daridrasya viṣaṃ goṣṭhī | Slo_59s-c
daridrā rūpasaṃpannā | Slo_55s-c
daśa varṣeṣu dāsavat | Slo_48s-b
daśa sthānāni dharmasya | VS_25s-a
daśa sthānāni dharmasya | VS_appendix-25s-a
daśakaṃ dharmalakṣaṇam | VS_22s-d
daśakaṃ dharmalakṣaṇam / | VS_appendix-22s-d
dātāraṃ nānumanyate | Slo_68s-b
dātṝṇāṃ roṣamiśritam | Slo_05s-b
dānam eva kalau yuge | Slo_65s-d
duḥkhasyānantaraṃ sukham | Slo_76s-b
devatānām anugrahī | Slo_64s-b
devānāṃ narakāṃ jantur | Slo_13s-a
deveṣu bhaktiḥ kanakasya lābhaḥ | Slo_37s-b
deśam ākhyāti bhāṣitam | Slo_81s-b
doṣo 'py asti guṇo 'py asti | Slo_46s-a
dvāpare yajñam ity āhur | Slo_65s-c
dvāv ete mama bandhavaḥ | Slo_77s-b
dviguṇaṃ brahmabandhuṣu | Slo_03s-b
dvijatvam avajānanti | Slo_30s-c
dvijatvam avajānanto | VS_37s-c
dvijātir abhivyākhātā | Slo_64s-a
dhanaṃ durgativāraṇam | Slo_74s-d
dhanaṃ vibhūṣaṇaṃ loke | Slo_74s-a
dhanaṃ svargasya sopānaṃ | Slo_74s-c
dhanadānaṃ ca madhyamam | Slo_67s-b
dhanahīno 'pi kulajo | Slo_56s-a
dharmadāne dhanārjane | Slo_50s-b
dharmaśāstraṃ na varjayet | Slo_83s-b
dharmādhyakṣo 'bhidhīyate | Slo_20s-d
dharmeṣu satyam uttamam | Slo_01s-d
dhātudagdhā ca pañcaite | Slo_43s-c
dhātudagdhā ca pañcaite | VS_11s-c
dhāraṇābhiś ca kilbiṣam | VS_21s-b
dhāraṇābhiś ca kilbiṣam | VS_appendix-21s-b
dhījñānadīpaḥ kuta eva dṛṣṭaḥ | Slo_63s-d
dhṛtiḥ kṣamā damo 'steyaṃ | VS_22s-a
dhṛtiḥ kṣamā damo 'steyaṃ | VS_appendix-22s-a
dhairyaṃ vīryaparākramās tu galitā jīven ninindaprajeḥ | Slo_18s-c
dhyānaṃ prasādo mādhuryaṃ | VS_24s-c
dhyānenānīśvarān guṇān | VS_21s-d
dhyānenānīśvarān guṇān | VS_appendix-21s-d
*na grahītavyā vicakṣaṇaiḥ | Slo_39s-d
na ca daivāt paraṃ balam | VS_10s-d
na ca bhavati narāṇāṃ tu priyaṃ tad viśeṣam | Slo_36s-d
na cāpatyasamaḥ sneho | VS_10s-c
na tasya loke bhayam asti kiṃcit | Slo_16s-d
na tṛptiś cakṣoḥ priyadarśanena | Slo_62s-d
na tṛptī rājño dhanasaṃgraheṇa | Slo_62s-a
na paṇḍitatṛptiḥ subhāṣitena | Slo_62s-c
na brahmacaryaṃ na ca satyavākyam | Slo_41s-b
na bhavanti samācārā | Slo_53s-c
na yajñadānaṃ na tapo 'gnihotraṃ | Slo_41s-a
na sarvavedādhyayane vrataṃ ca | Slo_41s-c
na sāgaratṛptir ato jalena | Slo_62s-b
na snāto yadi bhasmanā | VS_19s-d
na snāto yadi bhasmanā | VS_appendix-19s-d
nakulo maṇḍūko vyālaḥ | VS_06s-c
nadīnāṃ ca latānāṃ ca | Slo_23s-a
*nayanti doṣaṃ duryaśo mahat | VS_13s-d
nayanti doṣaṃ pitur duryaśo mahat | VS_appendix-13s-d
naravānaragovyāghrā | VS_05s-a
narāṇāṃ kopī cāṇḍālaḥ | Slo_44s-c
narmaḥ syād vacanaṃ yad dhi | Slo_22s-a
nānṛtāt pātakaṃ paraṃ | Slo_07s-b
nārīṣu kuṭilā gatiḥ | Slo_58s-d
nālo doṣo 'sti kaṇṭakaiḥ | Slo_46s-d
nāsti krodhasamo ripuḥ | VS_10s-b
nāsti krodhasamo ripuḥ | VS_appendix-10s-b
nāsti daivāt paraṃ balam | VS_appendix-10s-d
nāsti putrasamaḥ sneho | VS_appendix-10s-c
nāsti vidyāsamaṃ mitraṃ | VS_10s-a
nāsti vidyāsamaṃ mitraṃ | VS_appendix-10s-a
nāsti satyāt paro dharmo | Slo_07s-a
nāstikānāṃ kriyās tathā | VS_appendix-25(ka)s-b
nigharṣaṇātāḍanacchedatāpanaiḥ | Slo_80s-b
nidrāgirigṛhaśūnya | VS_35s-cd
nimattonmattakuṣṭhāś ca | Slo_12s-a
niyamāḥ parikīrtitāḥ | VS_04s-d
niyamāḥ śivabhāṣitāḥ | VS_31s-d
niyamāḥ śivabhāṣitāḥ | VS_appendix-04s-d
nirasthirūpāṇāṃ rūpaṃ | Slo_33s-c
nirgandhā iva kiṃśukāḥ | Slo_24s-d
nirdeṣṭā sthānadeśakaḥ | VS_30s-b
nirdoṣo naiva jāyate | Slo_46s-b
nirdhano 'pi naraḥ sādhuḥ | Slo_31s-a
nīcād apy uttamā vidyā | Slo_26s-c
nejakaḥ kumbhakārakaḥ | Slo_29s-b
netravaktravikāreṇa | Slo_82s-c
naiva snātaḥ pravartate | VS_appendix-19s-c
naiva snātaḥ pravarteta | VS_19s-c
nyagrodhāṃkurabījavat | Slo_04s-d
pakṣiṇāṃ kākaś cāṇḍālo | Slo_44s-a
pakṣiṇāṃ narakaṃ vyālo | Slo_14s-a
pañcānṛtaṃ na pātakam | Slo_22s-d
paṭhanti ye dvijātayaḥ | VS_appendix-25s-b
parakarmopajīvinaḥ | Slo_30s-b
parakarmopajīvinaḥ | VS_37s-b
paro 'pi hitavān bandhur | Slo_51s-a
paśūnāṃ narakaṃ mṛgo | Slo_13s-c
pātakāḥ parikīrtitāḥ | Slo_69s-d
pārthivaṃ snānam ucyate | VS_18s-d
pārthivaṃ snānam ucyate | VS_appendix-18s-d
pituḥ pramādād athavātisauhṛdāt | VS_13s-b
pituḥ pramādād athavātisauhṛdāt | VS_appendix-13s-b
pituḥ prayatnād athavātisauhṛdāt | VS_14s-b
pituḥ prayatnād athavātisauhṛdāt | VS_appendix-14s-b
piśunas tatra tad rājñi | Slo_32s-c
putraśatād vai paramaṃ hi satyam | Slo_06s-d
putrasnehānvitasya ca | Slo_54s-b
purīṣāṇāṃ kṛmiś caiva | Slo_33s-b
puruṣaguṇaviśeṣe naiva jātiḥ pramāṇam | Slo_25s-d
puruṣo vṛṣabhopamaḥ | Slo_66s-b
pūrṇatīrthamṛdāṃ sparśaḥ | VS_18s-c
pūrṇatīrthamṛdāṃ sparśaḥ | VS_appendix-18s-c
praṇamya bhāskaraṃ devaṃ | VS_01s-a
pratyakṣam etad bhavatāpi dṛṣṭaṃ | Slo_45s-c
pratyāhāreṇa viṣayān | VS_appendix-21s-c
pradhānaṃ śakaṭopamaṃ | Slo_66s-a
prabhāte ravir dīpakaḥ | Slo_52s-b
prabhuś ca yogayuktaś ca | Slo_64s-c
prabhau daśasahasrāṇi | Slo_08s-c
pramadā ca hatā smaraiḥ | Slo_60s-d
pravakṣye vratiśāsanam | VS_01s-d
praśocya bhakṣayed budhaḥ | VS_appendix-20s-d
prasādo mādhuryaṃ dhyānaṃ | VS_appendix-24s-c
prāṇaghnaḥ kumbhakārakaḥ | Slo_43s-b
prāṇaghnaḥ kumbhakārakaḥ | VS_11s-b
prāṇaghno dhātudagdhā ca | Slo_29s-c
