aṃśaṃ śūdrāsuto haret | Manu_9.151d
sīmāvādavinirṇayaḥ | Manu_8.253d
sīmāvinirṇayaṃ kuryuḥ | BrhS_1.19.11c
sīmāvinirṇayaṃ kuryuḥ | Manu_8.258c
sīmāvivādadharmaś ca | Manu_8.6a
sīmāvivāde nirṇīte | BrhS_1.6.6c
sīmāvivāde nirṇīte | Kāty_257a
sīmāvivāde nirṇīte | Kāty_301a
sīmāvṛkṣāṃś ca kurvīran | BrhS_1.19.2a
sīmāsandhiṣu kāryāṇi | BrhS_1.19.4c
sīmāsaṃdhiṣu kāryāṇi | Manu_8.248c
sīmāsandhiṣu lakṣaṇam | BrhS_1.19.14b
sīmāsaṃdhiṣu lakṣaṇam | Manu_8.261b
sīmāsetuvinirṇayaḥ | Manu_8.262d
sīsasyāgnau viśodhanam | ParS_7.25d
sukarās svalpasaṃśaye | NarS_p20.4b
sukṛtaṃ yat tvayā kiṃcij | YajñS_2.75a
sukṛtaṃ yat tvayārjitam | BrhS_1.5.33b
sukṛtaṃ duḥkṛtaṃ loken(a) | NarS_p20.22c
sukṛtaṃ duṣkṛtaṃ cobhau | ViS_20.31a
sukṛtī pitṛtārakaḥ | Ang_1.492b
sukṛtaiḥ śāpitāḥ svaiḥ svaiḥ | BrhS_1.19.15c
sukṛtaiḥ śāpithāḥ svaiḥ | Manu_8.256c
sukṣetre ca supātre ca hy | ParS_1.47c
sukṣetre vāpayed bījaṃ | ParS_1.47a
sukhaṃ svapiti nirvṛtaḥ | Manu_1.54d
sukhaṃ hy avamataḥ śete | Manu_2.163a
sukhaṃ ca pratibudhyate | Manu_2.163b
sukhaṃ carati loke 'sminn | Manu_2.163c
sukhaṃ cehecchatātyantaṃ | Manu_3.79c
sukhaduḥkhasamanvitāḥ | Manu_1.49d
sukhaduḥkhādibhiḥ prajāḥ | Manu_1.26d
sukhaṃ duḥkhaṃ ca janmasu | Manu_12.13d
sukham akṣayyam annadaḥ | Manu_4.229b
sukham atyantam aśnute | Manu_5.46d
sukham atyantam aśnute | ViS_51.69d
sukhasaṃyogam akṣayam | Manu_6.64d
sukhasya nityaṃ dāteha | Manu_5.153c
sukhākaraḥ śubhakaro | Ang_1.597c
sukhānāṃ śevadhir bhavet | Kāty_836d
sukhābhyudayikaṃ caiva | Manu_12.88a
sukhārthī vicared iha | Manu_6.49d
sukhārthī saṃyato bhavet | Manu_4.12b
sukhāsīnaṃ mahātejā | ParS_1.8c
sukhāsīnā dharā tadā | ViS_1.65d
sukhāsīnā nibodha tvaṃ | ViS_1.65a
sukhena yadi jīryate | NarS_p20.39b
sukhena yadi jīryate | ViS_13.5b
sugandhalipte ca vibhūṣite ca | ViS_99.19d
suguptabhāṇḍāsu balipriyāsu | ViS_99.21d
sugurv apy apahanty eno | Manu_11.256c
sutaṃ sūte tathāvidham | Manu_9.9b
sutaṃ cakre 'tha putrikām | BrhS_1.26.130d
sutatvādyanubandhakam | Ang_1.128b
sutaptajāmbūnadacāruvarṇāṃ | ViS_99.1c
sutaptāt taptamāṣakam | BrhS_1.8.72b
sutabhrātṛpitṛvyāṇāṃ | Ang_1.1035a
sutaṃ bandhuṣu vānyeṣu | Ang_1.337a
sutavinyastapatnīkas | YajñS_3.45a
sutaścejjātamātrakaḥ | Ang_1.403d
sutasānnidhyameva ca | Ang_1.485b
sutasnehena vā dadyān | BrhS_1.10.124c
sutasya sutadārāṇāṃ | Kāty_471a
sutasvīkaraṇe yā ''rāt | Ang_1.390a
sutāḥ pitur anicchayā | BrhS_1.26.10d
sutāṃ kurvīta putrikām | Manu_9.127b
sutānāṃ caiva vikrayaḥ | YajñS_3.236d
sutāś caiṣāṃ prabhartavyā | YajñS_2.141c
sute gauṇasutāḥ pare | Ang_1.431d
sute sati sa eva syāt | Ang_1.437c
sudāḥ paijavanaś caiva | Manu_7.41c
sudīrgheṇāpi kālena | NarS_v1.149a
sudīrgheṇāpi kālena | NarS_v1.153c
sudīrghenāpi kālena | BrhS_1.7.46c
sudrayā puruṣeṇa vā | BrhS_1.1.141d
sudhanvācārya eva ca | Manu_10.23b
sudhiyaṃ satkulodbhavam | Ang_1.771b
sunardaṃ ṣaṇḍhavarjitam | ParS_2.4b
suniścitabalādhānas tv | NarS_m2.1a
sundaraḥ parvatāśrayaḥ | Ang_1.523b
suparīkṣitam annādyam | Manu_7.217c
suparṇakinnarāṇāṃ ca | Manu_3.196c
supātre nikṣiped dhanam | ParS_1.47b
supīnaṃ śṛṅgasaṃbhavam | Kāty_446b
supuṣpābharaṇāmbaraiḥ | BrhS_1.1.26b
supuṣpābharaṇāmbaraiḥ | Kāty_054b
suptapramattamattebhyaḥ | NarS_v14.16c
suptamattopagamanāt | NarS_v12.43c
suptān pramattāṃś ca narā | NarS_p19.4c
suptāṃ mattāṃ pramattāṃ vā | Manu_3.34a
suptonmattapramattayā | BrhS_1.24.3b
suptvā kṣutvā ca bhuktvā ca | Manu_5.145a
suptvā bhuktvā ruditvā vā | Ang_1.259a
suprakāśeṣu setuṣu | Manu_8.245d
subaddhajatrujānvasthiḥ | NarS_v12.9a
subaddhāṃsaśirodharaḥ | NarS_v12.9b
subījaṃ caiva sukṣetre | Manu_10.69a
subrahmaṇyam anādhṛṣyaṃ | ViS_1.59a
subrahmaṇyāsv api smṛtam | Manu_9.126b
subhagā mahiṣīti ca | Ang_1.458b
subhage bhaginīti ca | Manu_2.129d
subhrūṃ susūkṣmadaśanāṃ | ViS_1.23a
sumaṅgalīnāṃ kathitaṃ | Ang_1.710a
sumahākṣayakārakaḥ | Ang_1.541b
sumahān prabhavedapi | Ang_1.291b
sumukhaḥ praviśet sabhām | BrhS_1.1.26d
sumukhāṃ praviśet sabhām | Kāty_054d
sumukho nimir eva ca | Manu_7.41d
suyuddham eva tatrāpi | Manu_7.176c
surayā yan na lipyate | ParS_7.22d
surākāmadyūtakṛtaṃ | YajñS_2.47a
surācihnaṃ lalāṭake | YamS-s_2.11b
surāṃ ca trividhām api | YajñS_1.288b
surāṇāmapi caivaṃ hi | Ang_1.227c
surāṇām arcanaṃ tathā | ParS_9.57d
surādhyakṣaś cyutaḥ svargān | Kāty_008a
surānyamadyapānena | YamS-78v_11a
surāpaḥ śyāvadantakaḥ | YajñS_3.209b
surāpaḥ śyāvadantatām | Manu_11.49b
surāpavratam ācaran | YajñS_3.258b
surāpānaṃ sakṛt kṛtvā | ParS_12.76c
surāpānaṃ tu yoṣitāṃ | YamS-s_1.34b
surāpānasamāni tu | YajñS_3.229d
surāpānasamāni ṣaṭ | Manu_11.56d
surāpānasya niṣkṛtiḥ | Manu_11.98b
surāpānāpanuttyarthaṃ | Manu_11.92c
surāpāne dhvajaḥ smṛtaḥ | NarS_p19.51b
surāpāne surādhvajaḥ | Manu_9.237b
surāpīnāṃ ca yoṣitām | Manu_5.90d
surāpī vyādhitā dhūrtā | YajñS_1.73a
surāpo gurutalpagaḥ | Ang_2.7.8b
surāpo nātra saṃśayaḥ | YajñS_3.207d
surāpo 'nyatamaṃ pītvā | YajñS_3.253c
surāpo 'pi viśudhyati | Manu_11.249d
surāpo brāhmaṇo vrajet | Manu_12.56d
surāpya ātmatyāginyo | YajñS_3.6c
surāmadyapāne kṛte | YamS-s_1.15a
surāmātreṇa saṃspṛṣṭaṃ | ParS_7.23a
surāṃ pibati suvyaktaṃ | YamS-78v_65c
surāṃ pītvā dvijo mohād | Manu_11.90a
surāmbughṛtagomūtra | YajñS_3.253a
surāyāḥ saṃprapānena | YamS-182v_2.3a
surārcanaṃ brāhmaṇapūjanaṃ ca | ViS_59.29b
surā vai malam annānāṃ | Manu_11.93a
surāsaṃspṛṣṭam eva ca | Manu_11.150b
surāsaṃspṛṣṭam eva ca | ParS_12.2b
surāsuraguruṃ devaṃ | ViS_1.60c
surūpaṃ vā virūpaṃ vā | Manu_9.14c
surūpā vā vayo 'dhikā | Ang_1.448b
sulabhāyāvadatkila | Ang_1.997b
suvarṇakartur veṇasya | Manu_4.215c
suvarṇaṃ kāṃsyam eva ca | ViS_86.17d
suvarṇacauraḥ kaunakhyaṃ | Manu_11.49a
suvarṇaṃ daṇḍam arhati | Manu_8.361d
suvarṇam āṣakaṃ dadyāt | YamS-99v_63c
suvarṇaṃ pañcagavyaṃ ca | ParS_10.20c
suvarṇarajatasya ca | Kāty_510b
suvarṇarajatādīnām | NarS_p19.34a
suvarṇarajatādīnām | Manu_8.321c
suvarṇaśatam ekaṃ tu | BrhS_1.29.3a
suvarṇaśatam ekaṃ tu | Kāty_964a
suvarṇasalilena ca | ParS_6.73d
suvarṇasteyakṛd vipro | Manu_11.99a
suvarṇasteyajaṃ malam | Manu_11.101b
suvarṇasteyaniṣkṛtim | Manu_11.98d
suvarṇasteyasammitam | YajñS_3.230d
suvarṇastainyam avrātyam | ViS_48.22c
suvarṇasya kṣayo nāsti | NarS_v9.11a
suvarṇāny api dakṣiṇā | ParS_4.13d
suvarṇodakam abhyukṣya | ParS_6.73a
suvāsinīḥ kumārīś ca | Manu_3.114a
suśīlā vastrasaṃyutā | YajñS_1.204b
suśuklāṃ tanum ūrjitām | ViS_1.37b
suśuddhadānte malavarjite ca | ViS_99.18c
susaṃskṛte tu ṣaṣṭhaṃ syāt | BrhS_1.19.55c
susaṃskṛtopaskarayā | Manu_5.150c
susaṃgṛhītarāṣṭre hi | Manu_7.113c
susamṛddo 'pi dāpyaḥ syāt | Kāty_563c
susahāyena dhīmatā | Manu_7.31d
susahāyena dhīmatā | YajñS_1.355d
susūkṣmaśuklavasanāṃ | ViS_1.28c
sustha indau sakṛt putraṃ | YajñS_1.80c
sustho jyotirgaṇān divā | Manu_4.142d
suhṛtsaṃbandhisaṃdiṣṭaiḥ | BrhS_1.10.88a
suhṛtsv ajihmaḥ snigdheṣu | Manu_7.32c
suhṛtsv ajihmaḥ snigdheṣu | ViS_3.96c
suhṛdbandhusakulyasya | BrhS_1.7.44c
suhṛdbhir bandhubhiś caiṣāṃ | Kāty_334a
sūkarī ca punaḥ punaḥ | ParS_4.16d
sūkarī copajāyate | YajñS_3.256d
sūktaṃ vābdaivataṃ japet | Manu_11.132d
sūktaṃ vai pauruṣaṃ tataḥ | ViS_65.15b
sūkṣma ātmātmani sthitaḥ | YajñS_3.64d
sūkṣmaṃ sthūlaṃ ca vistarāt | ParS_1.18b
sūkṣmaṃ sthūlaṃ ca vistarāt | ParS_1.19b
sūkṣmatāṃ cānvavekṣeta | Manu_6.65a
sūkṣmatvāt tadavijñeyaṃ | ViS_97.18c
sūkṣmatvāt sākṣidharmasya | NarS_v1.210c
sūkṣmam apy artham utsṛjet | Manu_8.170d
sūkṣmābhyo mūrtimātrābhyaḥ | Manu_1.19c
sūkṣme tu tripalā matā | YajñS_2.179d
sūkṣmebhyo 'pi prasaṅgebhyaḥ | Manu_9.5a
sūkṣmebhyo 'pi prasaṅgebhyo | BrhS_1.25.2a
sūkṣmo 'vyaktaḥ sanātanaḥ | Manu_1.7b
sūkṣmo hi bhagavān dharmaḥ | NarS_m1.35a
sūcakaḥ pūtivaktratām | Manu_11.50b
sūcakaḥ sa udāhṛtaḥ | Kāty_034d
sūcakāśucir eva ca | Manu_4.71d
sūcīkaṇṭhāḥ sudāruṇāḥ | ViS_43.44b
sūcīty uktaḥ sa śāstreṣu | NarS_v1.143c
sūcyā vajreṇa caivaitān | Manu_7.191c
sūcyā vā garuḍena vā | Manu_7.187d
sūtaṃ hatvātikṛcchraṃ tu | YamS-s_1.22c
sūtakaṃ yadi madhyataḥ | Ang_1.27d
sūtakatrayato yadi | Ang_1.53d
sūtakaṃ tatsamāpanāt | Ang_1.92d
sūtakaṃ tu praśasyate | YamS-182v_3.55d
sūtakaṃ tu bhavet tasya | ParS_3.25c
sūtakaṃ mātur eva syād | Manu_5.62c
sūtakaṃ mātur eva syād | ParS_3.24c
sūtakaṃ mātur eva hi | YajñS_3.18d
sūtakasya nirantaram | Ang_1.50b
sūtakādiṣu sarveṣu | Ang_1.169a
sūtakānte punaḥprāpta | Ang_1.50a
sūtakānte śūnyatithi | Ang_1.274a
sūtakānnādyam eva ca | Manu_4.112d
sūtake ca tathocyate | Manu_5.58d
sūtake tu yadā vipro | Ang_2.8.19a
sūtake tu samutpanne | YamS-99v_75a
sūtakena na lipyeta | YamS-182v_4.21a
sūtakena na lipyeta | YamS-182v_4.21c
sūtake 'pi tathācaret | Ang_1.28d
sūtake mṛtake caiva | YamS-182v_4.18a
sūtake mṛtake 'pi vā | Ang_2.9.1b
sūtake mṛtake 'pi vā | ParS_11.16b
sūtake vartamāne 'pi | YamS-182v_3.55a
sūtavaidehakā api | NarS_v12.106b
sūtaś ca māgadhaś caiva | NarS_v12.113a
sūtādyāḥ pratilomās tu | NarS_v12.109a
sūtānām aśvasārathyam | Manu_10.47a
sūtikāṃ spṛśataś caiva | ParS_7.10a
sūtikāgantukādayaḥ | YajñS_2.163b
sūtikā cābhisāriṇī | NarS_v11.29d
sūtiprajananasthāna | Ang_1.386a
sūtiprajananasthānā | Ang_1.385a
sūte dasyur ayogave | Manu_10.32d
sūte vaidehakaṃ sutam | NarS_v12.115b
sūto bhavati jātitaḥ | Manu_10.11b
sūto vaidehakaś caiva | Manu_10.26a
sūtyāśauce na tanmatam | Ang_1.47b
sūtyāśauce mṛtāśauce | Ang_1.45a
sūtrakarpāsakiṇvānāṃ | NarS_v1.93a
sūtrakārasya vedasya | Ang_1.842c
sūtrakārpāsakiṇvānāṃ | Manu_8.326a
sūtrakārpāsikorṇānāṃ | NarS_v9.13c
sūtrasyaiva bhavenmantraḥ | Ang_1.56a
sūtreṇāveṣṭya hastayoḥ | NarS_p20.17d
sūnācakradhvajavatāṃ | Manu_4.84c
sūnādoṣair na lipyate | Manu_3.71d
sūpaṃ tu pariveṣayet | Ang_1.814b
sūpasthānaḥ surāspadaḥ | Ang_1.523d
sūribhiḥ parikīrtitaḥ | NarS_v1.131b
sūrmīṃ jvalantīṃ svāśliṣyen | Manu_11.103c
sūryaḥ somo mahīputraḥ | YajñS_1.296a
sūryadṛṣṭirhimaṃ yathā | Ang_2.6.11d
sūryamaṇḍalabhedinau | ParS_3.30b
sūryarāśikramaṇataś | Ang_1.638c
sūryavarcāḥ sahasrakaḥ | YajñS_3.119d
sūryasya cāpy upasthānaṃ | YajñS_1.22c
sūryād vṛṣṭir athauṣadhiḥ | YajñS_3.71b
sūryāyutasamaprabham | ViS_1.41d
sūrye caivācirodite | Manu_3.280d
sūryeṇa hy abhinirmuktaḥ | Manu_2.221a
sūryoḍho gṛhamedhinā | Manu_3.105b
sūryodaya upoṣitam | ViS_9.33b
sūryodaya upoṣitam | YajñS_2.97b
sūryo divi virājate | Ang_2.12.10d
sūryo nābhyudiyāt kva cit | Manu_2.219d
sūryo mānuṣadaivike | Manu_1.65b
sṛkkiṇī parileḍhi ca | YajñS_2.13b
sṛgālayoniṃ cāpnoti | Manu_9.30c
sṛjaty amṛtam uttamam | YajñS_3.123b
sṛjaty ātmānam ātmā ca | YajñS_3.148c
sṛjaty ekottaraguṇāṃs | YajñS_3.70c
sṛjed vittavivardhinīm | Manu_8.140b
sṛjyamānaḥ punaḥ punaḥ | Manu_1.28d
sṛtāḥ praṇihitā api | NarS_p19.11b
sṛtīś cāsyāntarātmanaḥ | Manu_6.63d
sṛṣṭaṃ śuddhaikavigraham | Ang_1.589b
sṛṣṭaṃ sthāvarajaṅgamam | Manu_1.41d
sṛṣṭavantaḥ prajāḥ svāḥ svā | Manu_1.61c
sṛṣṭiṃ sasarja caivemāṃ | Manu_1.25c
sṛṣṭir eṣā prajāpateḥ | NarS_v12.102b
sṛṣṭir mṛṣṭir dvijāś cāgryāḥ | Manu_3.255c
sṛṣṭisaṃhārakāraka | ViS_1.53d
sṛṣṭisaṃhārakāraṇe | ViS_20.27b
sṛṣṭvā paridade paśūn | Manu_9.327b
sekād ullekhanāl lepād | YajñS_1.188c
sekenollekhanena ca | Manu_5.124b
sekenollekhanena ca | ViS_23.56d
setihāsāni śaktitaḥ | YajñS_1.101b
setuḥ kalyāṇakārakaḥ | YajñS_2.156b
setuḥ kṣetraṃ vibhajyate | BrhS_1.26.3d
setukedāramaryādā | NarS_v11.1a
setuṃ dṛṣṭvā viśuddhātmā tv | ParS_12.71c
setuṃ dṛṣṭvā samudrasya | ParS_12.71a
setubandhapathe bhikṣāṃ | ParS_12.66c
setubhettā samīpagaḥ | NarS_v1.156b
setubhedakarīṃ cāpsu | YajñS_2.278c
setuṃ pravartayet kaścin | NarS_v11.17c
setur na pratiṣidhyate | NarS_v11.14b
setuvalmīkaniṃnāsthi | YajñS_2.151c
setus tu dvididho jñeyaḥ | NarS_v11.15a
setusnānasahasrakam | Ang_1.203d
setau vivadatāṃ nṛṇām | BrhS_1.19.35b
setau vivādatāṃ nṛṇām | Manu_8.263b
sedhāgodhākacchapaśallakāḥ | YajñS_1.177b
senākāle tu sainikaḥ | Kāty_109b
senānyā saha cintayet | YajñS_1.329d
senāpatibalādhyakṣau | Manu_7.189a
senāpatyaṃ ca rājyaṃ ca | Manu_12.100a
senāyāṃ sainikānāṃ tu | BrhS_1.1.73c
sevakāś cāpi viprāṇāṃ | YamS-182v_4.61a
sevate dharmam alpaśaḥ | Manu_12.21b
sevamāno vrajaty adhaḥ | Manu_6.35d
sevayā dīyate kalau | ParS_1.28d
sevādānaṃ tu niṣphalam | ParS_1.29d
sevānūpaṃ nṛpo bhaikṣam | YajñS_3.42c
sevāśauryādinā tuṣṭaḥ | BrhS_1.6.26a
sevā śvavṛttir ākhyātā | Manu_4.6c
sevitavyaḥ prayatnataḥ | Manu_6.91d
sevetemāṃs tu niyamān | Manu_2.175a
sevyamānaṃ samantataḥ | ViS_1.43d
seha kīrtim avāpnoti | YajñS_1.75c
seha kīrtim avāpnoti | YajñS_1.87c
seha nindām avāpnoti | Manu_5.161c
sairindhraṃ vāgurāvṛttiṃ | Manu_10.32c
saiva tasya vibhāvanā | NarS_p20.43f
saiva strī parikīrtyate | BrhS_1.26.102d
saivāsya dharmapatnī syād | Ang_1.447c
saisakaṃ caikamāṣakam | Manu_11.133d
sa ihānvādhir ucyate | Kāty_611d
so 'khilaṃ likhitādinā | BrhS_1.4.5d
so 'gnir bhavati vāyuś ca | Manu_7.7a
so 'gnirvai kavyavāhanaḥ | Ang_1.736d
so 'cirād bhraśyate rājyāj | Manu_7.111c
so 'cirād vigataśrīko | YajñS_1.340c
so 'jyeṣṭhaḥ syād abhāgaś ca | Manu_9.213c
so 'tithiḥ svargasaṃkramaḥ | ParS_1.58d
so 'tithiḥ svargasaṃgramaḥ | ParS_1.40d
sottaro 'nuttaraś caiva | NarS_m1.4a
sottaro 'bhyadhiko yatra | NarS_m1.4c
sodakaṃ ca kamaṇḍalum | Manu_4.36b
sodakāś ca sagotriṇaḥ | BrhS_1.18.15b
sodakumbhamadharmakam | Ang_1.876d
sodakumbhaṃ prayacchata | ViS_20.33d
sodakumbhaśrāddhamātraṃ | Ang_1.263c
sodakumbhasya nāndyāśca | Ang_1.266a
sodakumbhāni kṛtsnaśaḥ | Ang_1.683d
sodayaṃ tasya dāpyo 'sau | YajñS_2.254c
sodayaṃ dhanam anyathā | BrhS_1.10.41d
sodayaṃ paṇyam āvahet | NarS_v8.5b
sodarasya tu sodaraḥ | BrhS_1.26.116b
sodarasya tu sodaraḥ | ViS_17.17b
sodarasya tu sodaraḥ | YajñS_2.138b
sodarasya vidhīyate | BrhS_1.26.107d
sodarāś ca sapiṇḍāś ca | BrhS_1.18.15a
sodare tu mṛte sati | BrhS_1.26.109b
sodaryā vibhajeraṃs taṃ | BrhS_1.26.114a
sodaryā vibhajeraṃs taṃ | Manu_9.212a
sodaryāsutamātulāḥ | Kāty_362b
sodaryo nānyamātṛjaḥ | BrhS_1.26.117d
so 'dhikarmakaro jñeyaḥ | NarS_v5.22c
so 'napatyadhanaṃ haret | BrhS_1.26.138d
so 'nibaddhaḥ pramoktavyo | Kāty_584c
so 'nujñāto hared aṃśam | Manu_9.179c
so 'nubhūyāsukhodarkān | Manu_12.18a
so 'numānena lakṣyate | Kāty_385d
so 'nuyojyo yathāvidhi | Manu_8.31b
so 'ntar daśāhāt tad dravyaṃ | Manu_8.222c
sopakāre ca hāpite | YajñS_2.59b
so 'patyaṃ bhrātur utpādya | Manu_9.146c
sopavāsaḥ samāhitaḥ | NarS_v11.10b
sopavāsaḥ sūryagrahe | BrhS_1.8.70a
sopavāsaś ca khādeta | NarS_p20.38c
sopavāsas tryahaṃ vaset | YajñS_1.175d
sopavāsām akiṃcanām | YajñS_3.261d
so 'paviddho bhavet sutaḥ | YajñS_2.132b
so 'pāṅkteyaḥ prakīrtitaḥ | NarS_v1.56d
sopānatkaś ca yad bhuṅkte | Manu_3.238c
so 'pi kṛcchradvayaṃ kuryād | ParS_6.17c
so 'pi tad dviguṇaṃ dāpyo | BrhS_1.18.5c
so 'pi taddviguṇaṃ dāpyo | NarS_v8.8c
so 'pi dāsītvam āpnuyāt | BrhS_1.15.24b
so 'pi dāsyān na mucyate | BrhS_1.15.23d
so 'pi pātityamāpnuyāt | Ang_1.123d
so 'pi yatnena saṃrakṣyo | YajñS_2.186c
so 'pi yasmin dine samyag | Ang_1.653c
so 'pyekaścedavāpnoti | Ang_1.127a
so 'prasiddha udāhṛtaḥ | BrhS_1.2.9b
so 'bhidheyo jitaḥ pūrvaṃ | Kāty_171c
so 'bhidhyāya śarīrāt svāt | Manu_1.8a
so 'bhiyuktas tad uddharet | Kāty_324b
so 'bhiyuktas tam uddharet | YajñS_2.28b
so 'bhiyoktāram āvrajet | NarS_m1.50d
somaḥ kṣīre ghṛte raviḥ | ParS_11.39d
somaḥ pavitram atyeti rebhan | ViS_48.6d
somaḥ pitḥṇāmādhāraḥ | Ang_1.1100c
somaḥ śaucaṃ dadāv āsāṃ | YajñS_1.71a
somagrahe tathaivoktaṃ | ParS_12.30c
somaṃ gandhāṃś ca sarvaśaḥ | Manu_10.88b
somaṃ grastāstagaṃ sūryam | Ang_1.298c
somatṛptyaikajanakaṃ | Ang_1.1101c
somadā mahilā kalā | Ang_1.928b
somapānasamaṃ bhavet | ParS_12.31d
somapā nāma viprāṇāṃ | Manu_3.197a
somapās tu kaveḥ putrā | Manu_3.198a
somaputro bṛhaspatiḥ | YajñS_1.296b
somapuṣpaphalapalāḥ | NarS_v1.58b
somape śatasāhasram | BrhS_1.14.12c
somam asthi tathā madhu | YamS-s_2.45b
somamārgaṃ vilokya ca | ParS_7.10d
somamārgeṇa sā pūtā | Ang_2.9.16c
somayājī sarvayājī | Ang_1.625c
somavikrayiṇas tathā | YajñS_1.165d
somavikrayiṇe viṣṭhā | Manu_3.180a
somasūryāṃśumārutaiḥ | ViS_23.40d
somasūryāṃśumārutaiḥ | YajñS_1.194d
somasūryānilās tathā | ParS_12.21b
somāgnyarkānilendrāṇāṃ | BrhS_1.1.6c
somāgnyarkānilendrāṇāṃ | Manu_5.96a
somāya rājñe satkṛtya | Manu_9.129c
somāyeti huneddhaviḥ | Ang_1.810b
somāyaiva tu hūyate | Ang_1.1100d
somāraudraṃ tu bahvenāḥ | Manu_11.254a
some dṛṣṭiṃ nipātayet | Ang_2.9.15b
soma ity ucyate tadā | NarS_v18.27d
so 'yaṃ saṃbhūya kurvatām | Kāty_636f
so 'yaṃ hi pitṛbhiḥ prītas | Ang_1.1101a
so 'yametādṛśo mahān | Ang_1.567d
so 'rkaḥ somaḥ sa dharmarāṭ | Manu_7.7b
so 'rthas tūpanidhiḥ smṛtaḥ | Kāty_592d
sollekhanaṃ vā labhate | Kāty_133a
so 'śvamedhaphalaṃ labhet | BrhS_1.23.18d
soṣarodakagomūtraiḥ | YajñS_1.186a
so 'saṃvṛtaṃ nāma tamaḥ | Manu_4.81c
so 'sahāyena mūḍhena | Manu_7.30a
so 'sṛjat prāṇināṃ prabhuḥ | Manu_1.22b
so 'smān saṃtārayiṣyati | BrhS_1.26.89d
so 'smin loke yaśaḥ prāpya | BrhS_1.9.34c
so 'sya kāryāṇi saṃpaśyet | Manu_8.10a
so 'syā dadyād ṛṇaṃ bhartur | NarS_v1.18c
saukhyavighnakaraṃ bhavet | Ang_1.664b
sa u tyaktapitā jñeyas | Ang_1.1067c
saudāyikakramāyātaṃ | BrhS_1.14.6a
saudāyikaṃ dhanaṃ prāpya | BrhS_1.26.30a
saudāyikaṃ dhanaṃ prāpya | Kāty_905a
saudāyike sadā strīṇāṃ | Kāty_906a
saunaṃ vallūram eva ca | Manu_5.13d
saunaṃ vallūram eva ca | YajñS_1.175b
saubhāgyam etat paramaṃ yaśasyam | ViS_100.5b
saubhāgyavad avvaidhavya | Kāty_835c
sa u bhraṣṭapitā smṛtaḥ | Ang_1.1061d
saumyayāmyāyanadvandve | Ang_1.643a
saumyayāmyāyane nūnaṃ | Ang_1.641a
sauraṃ dhāmopanīyate | YajñS_3.122d
saurākṣikaṃ vṛthā dānaṃ | BrhS_1.10.118a
saurān mantrān yathotsāhaṃ | Manu_5.86c
sauvarṇarājatābjānām | YajñS_1.182a
sauvarṇarājatābhyāṃ ca | ViS_79.24a
sauvarṇīṃ rājtīṃ tāmrīm | BrhS_1.8.74a
sauvarṇe rājate tāmre | BrhS_1.8.73a
skandhadvayam udāhṛtam | Kāty_032b
skandhaśākhe mahīpatiḥ | BrhS_1.1.49b
skandhasarvavidāraṇe | YajñS_2.227b
skandhād ādāya tasyāpi | NarS_v5.40c
skandhenādāya musalaṃ | Manu_8.315a
skannaṃ reto 'bhimantrayet | YajñS_3.278b
stanāntaraṃ bhruvor madhyaṃ | YajñS_3.278c
stanyapāne na doṣo 'sti | Ang_1.284c
stambhanād rodha ucyate | ParS_9.5d
stambhanoccāṭanādibhiḥ | Ang_1.293d
stambhopatāpapaiśunya | Kāty_002a
stāvako hīnasevakaḥ | NarS_v1.169b
stutibhiḥ samapūjayat | ParS_1.9d
stutvā tv evaṃ prasannena | ViS_98.102a
stena ātmāpahārakaḥ | Manu_4.255d
stena eva sa ucyate | YamS-s_2.30b
stenaṃ rājā nihanyate | YamS-s_2.20d
stenaḥ piśunavaktā ca | YamS-s_2.18a
stenaḥ steyād vimucyate | Manu_8.316b
stenaḥ syād anivedayan | NarS_v7.7d
stenagāyanayoś cānnaṃ | Manu_4.210a
stenam astenamāninam | Manu_8.197d
stenasāhasikodvṛtta | Kāty_650a
stenasyātaḥ pravakṣyāmi | Manu_8.301c
stena syād upadhikrayāt | BrhS_1.12.3d
stenasyāpnoti kilbiṣam | NarS_p19.56d
stenasyāpnoti kilbiṣam | Manu_8.316d
stenāḥ sāhasikāḥ ṣaṇḍāḥ | BrhS_1.5.3a
stenāḥ sāhasikāś caṇḍāḥ | NarS_v1.141a
stenāṅgena viceṣṭate | NarS_p19.41b
stenādyā doṣadarśanāt | NarS_v1.138b
stenānāṃ ye prasarpatām | NarS_v14.18b
stenānāṃ nigrahād asya | Manu_8.302c
stenānāṃ nigrahe nṛpaḥ | Manu_8.302b
stenānām etad ākhyātaṃ | BrhS_1.23.1a
stenānāṃ pāpabuddhīnāṃ | Manu_9.263c
stenān rājā nigṛhṇīyāt | Manu_9.312c
stenā syād yadi taṃ haret | Manu_9.92d
stene nipātayed daṇḍaṃ | NarS_p19.42c
steneṣv alabhyamāneṣu | NarS_v14.26a
steno nṛṣu viceṣṭate | Manu_8.334b
steno mucyate kilbiṣāt | NarS_p19.56b
steno rājani kilbiṣam | Manu_8.317d
steno vipraḥ sahasraśaḥ | Manu_12.57d
steyagurvaṅganāgame | BrhS_1.2.23b
steyagurvaṅganāgame | Kāty_093b
steyaṃ kṛtvānyaveśmataḥ | Manu_11.164b
steyaṃ gurvaṅganāgamaḥ | Manu_11.54b
steyaṃ ca sāhasaṃ caiva | Manu_8.6c
